name,link,cost for 2,cuisines,ratings,reviews,address
"kullads Restaurant, Bopal",https://www.zomato.com/ahmedabad/kullads-bopal,350,"Fast Food, Beverages",3.5,43," C 44, SOBO Center, Gala Gymkhana Road, South, Bopal, Ahmedabad"
"marigold restaurant Restaurant, Odhav",https://www.zomato.com/ahmedabad/marigold-restaurant-odhav,450,"North Indian, Chinese",3.6,54," Vishala Landmark, Opposite Dhaval Shopping Centre, SP Ring Road, Odhav, Ahmedabad"
"chai ka bukhar Restaurant, Gurukul",https://www.zomato.com/ahmedabad/chai-ka-bukhar-gurukul,200,"Tea, Beverages, Street Food",3.9,41," Unit F 12, 1st Floor, Balaji Centre, Opposite Gurukul Temple, Gurukul, Ahmedabad"
"yumazing foods Restaurant, Gurukul",https://www.zomato.com/ahmedabad/yumazing-foods-gurukul,350,"North Indian, Fast Food",3.2,56," Shop 16 Raju Complex Opposite Vishva Bharti School, Gurukul, Ahmedabad"
"casa della pizza Restaurant, Nava Vadaj",https://www.zomato.com/ahmedabad/casa-della-pizza-1-nava-vadaj,300,Italian,4,73," 17/4, Tulsi Shyam Flats, Bhimjipura Cross Roads, Nava Vadaj, Ahmedabad"
"jugaadi adda Restaurant, Satellite",https://www.zomato.com/ahmedabad/jugaadi-adda-satellite,200,Fast Food,NEW,," Sudarshan Complex, Judges Bunglow Road, Suryapooja Block B, Satellite, Ahmedabad"
"madhurya Restaurant, Vejalpur",https://www.zomato.com/ahmedabad/madhurya-vejalpur,800,"Rajasthani, Gujarati",3.6,58," Near Jivraj Tolnaka, Ambaji Temple, Malav Talav, Vejalpur, Ahmedabad"
"pathikashram atithya restaurant Restaurant, Sector 11, Gandhinagar",https://www.zomato.com/ahmedabad/pathikashram-atithya-restaurant-sector-11-gandhinagar,500,Gujarati,3.3,42," Near S T Depot, GH 3 Circle, GH Road, Sector 11, Gandhinagar"
"mansuri halwa Restaurant, Bhadra",https://www.zomato.com/ahmedabad/mansuri-halwa-bhadra,200,Mishti,4,73," 1161/3, Opposite BSNL Office, Bhadra, Ahmedabad"
"jagdish chaat pakodi centre Restaurant, Navrangpura",https://www.zomato.com/ahmedabad/jagdish-chaat-pakodi-centre-navrangpura,200,Street Food,3.9,54," Opposite Memnagar Fire Station, Navrangpura, Ahmedabad"
"egg box Restaurant, Bodakdev",https://www.zomato.com/ahmedabad/egg-box-bodakdev,500,"Fast Food, North Indian",2.8,47," Near Kalibari Mandir, Rajpath Club, Bodakdev, Ahmedabad"
"european shakes cafe orient club Restaurant, Ellis Bridge",https://www.zomato.com/ahmedabad/the-european-shakes-and-cafe-orient-club-ellis-bridge,550,"Chinese, North Indian, Fast Food",3.5,56," Plot 578/2, The Orient Club, Kavi Nanalal Marg, Near Gujarat College Railway Crossing, Ellis Bridge, Ahmedabad"
"gir rajwadi restaurant Restaurant, Adalaj",https://www.zomato.com/ahmedabad/gir-rajwadi-restaurant-2-adalaj,500,"North Indian, Gujarati",3.5,42," Beside Bharat Petrol Pump, Adalaj, Ahmedabad"
"cake2homescom Restaurant, Paldi",https://www.zomato.com/ahmedabad/cake2homes-com-paldi,350,"Bakery, Desserts",3.8,65," Damubhai Colony, Paldi, Ahmedabad"
"nisar hotel Restaurant, Sarkhej",https://www.zomato.com/ahmedabad/nisar-hotel-sarkhej,250,North Indian,3.6,47," Shop 13, Sonal Char Rasta, Juhapura, Near Haji Bawa Dargah, Sarkhej, Ahmedabad"
"yumla Restaurant, Mani Nagar",https://www.zomato.com/ahmedabad/yumla-mani-nagar,400,Fast Food,3.9,55," Shop 15, Harikrupa Shopping Center, Bhalakiya Bus Stand, Mani Nagar, Ahmedabad"
"foodera Restaurant, Vastrapur",https://www.zomato.com/ahmedabad/foodera-vastrapur,300,"North Indian, Chinese, Italian, Mexican, Fast Food",3.7,49," 153, 14/1, Vastrapur Gam, Opposite Shree Kamnath Mahadev Mandir, Vastrapur, Ahmedabad"
"chocobell Restaurant, Navrangpura",https://www.zomato.com/ahmedabad/chocobell-navrangpura,300,Desserts,3.7,44," Soni Hostel, HL Road, Navrangpura, Ahmedabad"
"vices spices food Restaurant, Vasna",https://www.zomato.com/ahmedabad/vices-and-spices-food-vasna,350,North Indian,3.5,30," C-12, 1st Floor, Sambhavtirth Flat, Behind Telephone Exchange, Vasna, Ahmedabad"
"puff king Restaurant, Nikol",https://www.zomato.com/ahmedabad/puff-king-nikol,150,Fast Food,NEW,," 18, Ground Floor, Platinum Plaza, Shukan Bunglows, Opposite Kunj Mall, New India Colony Road, Nikol, Ahmedabad"
"gul bakers Restaurant, Satellite",https://www.zomato.com/ahmedabad/gul-bakers-satellite,350,"Bakery, Desserts",3.4,19," Level 1, Inside Osia Hypermart, Dev Arc Mall, Near Iscon Circle, SG Highway, Satellite, Ahmedabad"
"pandya ice world Restaurant, Sector 16, Gandhinagar",https://www.zomato.com/ahmedabad/pandya-ice-world-sector-16-gandhinagar,250,"Desserts, Beverages",3.4,37," 381/3, Opposite DCB Bank, Sector 16, Gandhinagar"
"udta punjab Restaurant, Vastrapur",https://www.zomato.com/ahmedabad/udta-punjab-vastrapur,300,Fast Food,3.2,48," A-12, Shubhlaxmi Flat, L.J College Road, Near Anik Apartment, Vastrapur Gam Vastrapur"
"raj chole puri Restaurant, Gurukul",https://www.zomato.com/ahmedabad/raj-chole-puri-gurukul,200,"Biryani, Street Food, Gujarati, North Indian",3.6,38," 15, Raju Complex, Gurukul Road, Gurukul, Ahmedabad"
"mba wala Restaurant, Chandkheda",https://www.zomato.com/ahmedabad/mba-wala-chandkheda,300,"Fast Food, North Indian",3.6,34," B/02, Samruddhi Residency, Ashok Vihar, Chandkheda, Ahmedabad"
"hot spot Restaurant, Vastrapur",https://www.zomato.com/ahmedabad/the-hot-spot-vastrapur,450,"Chinese, Italian, North Indian, Mexican",3.4,32," Cantene-6, Amdavad Haat, Aurbindo Soc.Road, Near Vastrapur Lake, Vastrapur, Ahmedabad"
"brick ovens Restaurant, Bopal",https://www.zomato.com/ahmedabad/brick-ovens-bopal,200,"Bakery, Desserts",3.2,17," A/9, 63, Green Field, Applewood Township, Bopal, Ahmedabad"
"deli @ square hotel novotel Restaurant, Satellite",https://www.zomato.com/ahmedabad/deli-@-the-square-hotel-novotel-satellite,100,"Desserts, Bakery",3.5,33," Novotel Ahmedabad, Iskcon Cross Road, S.G. Highway, Satellite, Ahmedabad"
"balaji poha house Restaurant, Satellite",https://www.zomato.com/ahmedabad/balaji-poha-house-1-satellite,100,Street Food,3.4,37," S.G. Highway, Near Prahalad Nagar Garden, Opposite Nexa Showroom, Satellite, Ahmedabad"
"costa rica cafe Restaurant, Nikol",https://www.zomato.com/ahmedabad/the-costa-rica-cafe-nikol,"1,100","Cafe, Italian, Fast Food",3.8,32," 1st Floor, Vishala Suprime, S.P. Ring Road, Opposite Torrent Power Station, Nikol, Ahmedabad"
"cake walk Restaurant, Thaltej",https://www.zomato.com/ahmedabad/cake-walk-thaltej,500,"Cafe, Desserts",2.2,22," Ground Floor, Acropolis Mall, S G Highway, Thaltej, Ahmedabad"
"upper deck Restaurant, Infocity",https://www.zomato.com/ahmedabad/upper-deck-infocity-gandhinagar,700,"Cafe, Italian, Mexican, North Indian",3.4,28," 6th Floor, Pramukh Tangent, Sargasan, Infocity, Gandhinagar"
"south land Restaurant, Prahlad Nagar",https://www.zomato.com/ahmedabad/south-land-prahlad-nagar,200,"South Indian, Chinese, Street Food, Sandwich",3.7,43," Opposite Prahladnagar Garden, Prahlad Nagar, Ahmedabad"
"smokyzz grill barbeque Restaurant, Prahlad Nagar",https://www.zomato.com/ahmedabad/smokyzz-grill-barbeque-prahlad-nagar,"2,000","North Indian, BBQ",3.5,20," Hotel Ramada, Corporate Road, Opposite Prahlad Nagar Garden, Prahlad Nagar, Ahmedabad"
