name,link,cost for 2,cuisines,ratings,reviews,address
"radiation bar Restaurant, Ajmer Highway",https://www.zomato.com/jaipur/radiation-bar-1-ajmer-highway,"1,500",Finger Food,3.4,16," Pink Pearl Hotel & Funcity, NH 8, Jaipur Ajmer Expressway, Near Mahapura Mod, Bhankrota, Ajmer Highway, Jaipur"
"julienne restaurant Restaurant, Shyam Nagar",https://www.zomato.com/jaipur/julienne-restaurant-shyam-nagar,500,"North Indian, Chinese",3.4,22," Hotel Park Regent, G 17, Janpath, Shyam Nagar, Jaipur"
"sk bakers fast food Restaurant, Mansarovar",https://www.zomato.com/jaipur/sk-bakers-fast-food-mansarovar,150,"Fast Food, Ice Cream",3.1,10," B 102, Dev Nagar, Behind Kohinoor Residency, Jaipur Rampura Road, Sanganer, Near Mansarovar, Jaipur"
"chuski taste tea Restaurant, Mansarovar",https://www.zomato.com/jaipur/chuski-the-taste-of-tea-mansarovar,150,"Tea, Rajasthani",3.1,12," A 34, Kishan Colony, Near Malpura Gate, Sanganer, Mansarovar, Jaipur"
"shree ram sabjiwala Restaurant, Malviya Nagar",https://www.zomato.com/jaipur/shree-ram-sabjiwala-malviya-nagar,450,"North Indian, Chinese, Fast Food",3.1,20," C-28, Ashok Vihar, Nandpuri, Malviya Nagar, Jaipur"
"pizza seven Restaurant, Jagatpura",https://www.zomato.com/jaipur/the-pizza-seven-jagatpura,400,"Pizza, Fast Food, Beverages",NEW,," Shop 143, Sector 11, Pratap Nagar, Jagatpura, Jaipur"
"kopper kadai Restaurant, Shyam Nagar",https://www.zomato.com/jaipur/kopper-kadai-shyam-nagar,250,"North Indian, Chinese, Fast Food",3.1,14," C-224, Nirman Nagar, Shyam Nagar, Jaipur"
"restro rj 02 Restaurant, Mansarovar",https://www.zomato.com/jaipur/restro-rj-02-mansarovar,300,North Indian,3.1,12," 130A, Ashok Vihar Vistar, Gopal Pura Bypass, Near Triveni Choraha, Mansarovar, Jaipur"
"lalli bakers Restaurant, Sodala",https://www.zomato.com/jaipur/lalli-bakers-sodala,400,"Bakery, Fast Food",3.1,12," Shop 1, Shivpuri, Opposite Lazeez Hotel, New Sanganer Road, Ramnagar Extension, Sodala, Jaipur"
"sondhi swad Restaurant, Vaishali Nagar",https://www.zomato.com/jaipur/sondhi-swad-vaishali-nagar,300,"North Indian, South Indian, Rajasthani",3.1,12," Devenda Vatika, Rangoli Garden, Below Hightention Wire, Maharana Pratap Marg, Vaishali Nagar, Jaipur"
"corner cafe lounge Restaurant, Jagatpura",https://www.zomato.com/jaipur/the-corner-cafe-and-lounge-jagatpura,800,"North Indian, Chinese",3.1,10," Plot 135, Raghunandan Vihar, Jagatpura, Jaipur"
