name,link,cost for 2,cuisines,ratings,reviews,address
"house eggs Restaurant, City Light",https://www.zomato.com/surat/house-of-eggs-city-light,300,Street Food,3.1,5," Shop 3, Lower Ground Floor, Tp 4, Ascon City, Opposite Oscar Appartment, City Light Soc road, Surat"
"dr fine dine Restaurant, Varachha",https://www.zomato.com/surat/dr-fine-dine-varachha,500,"North Indian, Fast Food, Biryani, Chinese, Beverages",3.8,56," 101, First Floor, Deepkamal 2, Near Sarthana Zoo, Varachha, Surat"
"khatta mittha Restaurant, Rander",https://www.zomato.com/surat/khatta-mittha-rander,500,"North Indian, Fast Food, Biryani",3.8,128," Shop 4, Near Vijay Dairy, Palanpur Patiya, Rander Road, Rander, Surat"
"spice heritage Restaurant, Vesu",https://www.zomato.com/surat/spice-heritage-3-vesu,850,"North Indian, Biryani, Chinese",3.8,129," U 1, E Space, Near Bhagwan Mahavir College,VIP Road, Vesu, Surat"
"china valley Restaurant, Adajan Gam",https://www.zomato.com/surat/china-valley-adajan-gam,400,Chinese,3.8,185," Next to Jalaram Temple,  Adajan Road, Adajan Gam, Surat"
"la terranza Restaurant, Vesu",https://www.zomato.com/surat/la-terranza-vesu,800,"North Indian, Chinese, Italian, Continental, Desserts, Beverages",3.8,140," Terrace Floor, Blue Ribbon Building, Next to Raghuvir Shell, Opposite VR Mall, Vesu, Surat"
"rangoli Restaurant, Piplod",https://www.zomato.com/surat/rangoli-piplod,700,North Indian,3.8,136," Surat-Dumas Road, Athwalines, Piplod, Surat"
"chamunda chai Restaurant, Salabatpura",https://www.zomato.com/surat/chamunda-chai-salabatpura,100,"Gujarati, Beverages",3.8,79," Room No.16, Patra Ni Chal, Nawab Mir Usman Alamkhan, Nawab S Palace, Begumpura, Surat"
"t3 lounge gateway hotel Restaurant, Athwa",https://www.zomato.com/surat/t3-lounge-the-gateway-hotel-athwa,"1,000","Cafe, Bakery",3.8,108," The Gateway Hotel, Parle point, behind Ambaji temple, Athwa, Surat"
"surti khaman farsan mart Restaurant, Gopipura",https://www.zomato.com/surat/surti-khaman-farsan-mart-gopipura,200,Street Food,3.8,157," 9/1101, AB 1103, Narmada Apartment, Ground Floor, Ambaji Road, Near Bhagal, Gopipura, Surat"
"simply madras Restaurant, Adajan Gam",https://www.zomato.com/surat/simply-madras-adajan-gam,300,South Indian,3.8,125," G8, Western Arena, Near Madhuvan Circle, Green City Road, Adajan Gam, Surat"
"dosa corner fastfood Restaurant, Athwa",https://www.zomato.com/surat/dosa-corner-fastfood-athwa,500,South Indian,3.8,139," L-108, Kanchan Janga Apartments, Bhatar Char Rasta, Ishtar Nagar, Bhatar, Athwa, Surat"
"tikkas kitchen Restaurant, Piplod",https://www.zomato.com/surat/tikkas-kitchen-piplod,600,"Mughlai, North Indian, Hyderabadi, Beverages",3.8,140," Shop 8, Second Floor, Safal Sqaure, Opposite Prime Shoppers, Udhna Magdalla Road.Vesu.Surat. 395007"
"gdada m hungry Restaurant, Piplod",https://www.zomato.com/surat/g-dada-m-hungry-piplod,500,Fast Food,3.8,138," 4, Radhenagar Society, Opposite Sargam Shopping Centre, Piplod, Surat"
"govardhan restaurant Restaurant, Varachha",https://www.zomato.com/surat/govardhan-restaurant-varachha,600,North Indian,3.8,173," 101/102, 1st Floor, Mangaldeep Complex, Near Hirabaug Circle, Varachha, Surat"
"limited food Restaurant, Rander",https://www.zomato.com/surat/limited-food-rander,150,"Chinese, Street Food, Fast Food",3.8,83," Shop 1, Sejal Complex, Opposite Rupali Cinema, Rander Road, Rander, Surat"
