url,fav,lat,lon
https://www.zomato.com/ahmedabad/streetbrew-bistro-eatery-adalaj,"Mashed Potato, Noodle, Kulfi, Chicken Sizzler, Broccoli Cheese Soup, Veg Sizzler, Paneer Sizzler",23.1093156805,72.6032476500
https://www.zomato.com/ahmedabad/temptt-restro-and-cafe-chandkheda,"Pasta, Jalapeno Cheeseballs, Naan, Salad, Milk Cake",23.1189427340,72.6133850589
https://www.zomato.com/ahmedabad/apsara-ice-creams-navrangpura,₹250 for two people (approx.),23.0329390000,72.5655086000
https://www.zomato.com/ahmedabad/ame-gujarati-ambavadi,₹300 for two people (approx.),23.0213988465,72.5433750451
https://www.zomato.com/ahmedabad/foodish-ambavadi,₹350 for two people (approx.),23.0195455362,72.5544415042
https://www.zomato.com/ahmedabad/nutrinatural-diet-station-satellite,₹200 for two people (approx.),23.0160214000,72.5275714000
https://www.zomato.com/ahmedabad/shree-umiya-khaman-centre-ranip,₹200 for two people (approx.),23.0799686447,72.5694917142
https://www.zomato.com/ahmedabad/rasna-two-mani-nagar,"Hara Bhara Kabab, Panneer Butter Masala, Rolls, Butter Naan, Mexican Sizzler, Paneer Tikka, Buttermilk",23.0005999487,72.6004149020
https://www.zomato.com/ahmedabad/apna-fal-satellite,₹400 for two people (approx.),23.0163594245,72.5258806720
https://www.zomato.com/ahmedabad/shree-ram-punjabi-chinese-astodia,₹400 for two people (approx.),23.0211174264,72.5937784463
https://www.zomato.com/ahmedabad/shri-ambica-sweet-namkeen-1-secto-25-gandhinagar,₹150 for two people (approx.),23.2433087939,72.6481498405
https://www.zomato.com/ahmedabad/bombay-vadapav-airport-gandhinagar-highway-gandhinagar,₹200 for two people (approx.),23.1849129293,72.6298270002
https://www.zomato.com/ahmedabad/jugaad-nights-navrangpura,"Dal Makhani, Chole, Noodle, Biryani, Rajma Chawal, Panneer Butter Masala, Paneer Angara",23.0380688537,72.5608466193
https://www.zomato.com/ahmedabad/worth-the-wheat-chandkheda,₹300 for two people (approx.),23.1133827477,72.5871258974
https://www.zomato.com/ahmedabad/freaky-frankie-airport-gandhinagar-highway-gandhinagar,₹200 for two people (approx.),23.1763832528,72.6281147450
https://www.zomato.com/ahmedabad/prem-mevad-ice-cream-odhav,₹250 for two people (approx.),23.0329292000,72.6657867000
https://www.zomato.com/ahmedabad/cake-corner-bapunagar,₹400 for two people (approx.),23.0219314447,72.6129203662
https://www.zomato.com/ahmedabad/barbeque-nation-prahlad-nagar,"Paan Kulfi, Mocktails, Fish, Biryani, Gulab Jamun, Phirni, Salad",23.0116046494,72.5106950104
https://www.zomato.com/ahmedabad/sarvoday-bhojnalaya-sector-11-gandhinagar,₹300 for two people (approx.),23.2244881321,72.6602791250
