name,link,cost for 2,cuisines,ratings,reviews,address
"australian bakery cafe Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/australian-bakery-cafe-gurdaspur-locality,350,"Italian, Burger, Sandwich, Beverages",4.4,29," Opposite milk plant chowk, Pathankot road, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"k7 restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/k7-restaurant-gurdaspur-locality,300,"North Indian, Beverages",4.2,41," Library Road, Gurdaspur Locality, Gurdaspur"
"fun bytes Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/fun-bytes-gurdaspur-locality,400,"Fast Food, Burger, Beverages",4.4,33," Library road, Gurdaspur -Punjab, Gurdaspur Locality, Gurdaspur"
"enjoy pizza plus Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/enjoy-pizza-plus-gurdaspur-locality,300,,4.1,35," SCO 26, PUDA market, Jail road, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"chill n grill Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/chill-n-grill-gurdaspur-locality,,"Chinese, Burger",4.1,24," Hanuman Chowk, Gurdaspur Locality, Gurdaspur"
"babas kitchen restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/babas-kitchen-and-restaurant-gurdaspur-locality,,"North Indian, Beverages, Pizza",3.3,12," Mahant Complex, Near IDBI Bank, Civil Lines, Gurdaspur Locality, Gurdaspur"
"hotel international Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/hotel-international-gurdaspur-locality,400,"Chinese, Seafood, Sandwich, Fast Food, Beverages",4.1,24," Near bus stand, GT road, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"brew kitchen Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/the-brew-kitchen-gurdaspur-locality,550,"Cafe, Fast Food, Beverages, South Indian, North Indian, Arabian, Continental",3.4,14," Near AAA Bright Academy, Kahnuwan Road, Gurdaspur Locality, Gurdaspur"
"sweety aunty ki kitchen Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/sweety-aunty-ki-kitchen-gurdaspur-locality,150,"Fast Food, North Indian",3.3,11," Golden school wali gali, Hanuman chowk, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"chaska chai ka Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/chaska-chai-ka-gurdaspur-locality,300,"Tea, North Indian, Beverages",NEW,," Opp AGM MALL, Tibri Road, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"munchys restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/munchys-restaurant-gurdaspur-locality,400,"Italian, Fast Food, Beverages",4.0,12," Near Byepass, Opposite P. S. Garden, Gurdaspur Locality, Gurdaspur"
"punjabi tadka Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/punjabi-tadka-gurdaspur-locality,300,"Italian, Burger, South Indian, Chinese, Beverages",3.9,18," Near SBI, Hanuman chowk, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"crown cafe Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/crown-cafe-gurdaspur-locality,200,"Italian, Burger, Sandwich, Beverages",3.8,19," Tibri Road, Opposite Vijaya Bank, Gurdaspur Locality, Gurdaspur"
"real zayka Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/real-zayka-gurdaspur-locality,300,"North Indian, Fast Food",3.4,11," Kahnuwan Road, Ram sharnam colony, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"urban tandoor Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/urban-tandoor-gurdaspur-locality,400,"North Indian, South Indian",3.8,13," Shop 13, Agriculture Road,Ravi dass chowk Gurdaspur Locality, Gurdaspur"
"bake studio Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/the-bake-studio-1-gurdaspur-locality,300,"Italian, Burger, South Indian, Chinese, Beverages, Continental",3.7,12," Near SBI, Hanuman chowk Gurdaspur, Gurdaspur Locality, Gurdaspur"
"hotel sindhi Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/hotel-sindhi-gurdaspur-locality,200,"North Indian, Chinese",3.8,9," Sadar Bazar, Gurdaspur Locality, Gurdaspur"
"ss2 family restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/ss2-a-family-restaurant-gurdaspur-locality,300,"North Indian, Chinese",3.8,14," Purana Bazar, Geeta Bhawan Road, Gurdaspur Locality, Gurdaspur"
"fauji vaishno dhaba Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/fauji-vaishno-dhaba-gurdaspur-locality,600,"North Indian, Beverages",4.0,12," Village Bariar, GT road, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"hotel rk regency Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/hotel-rk-regency-gurdaspur-locality,200,North Indian,3.4,6," 21,industrial estate, Gurdaspur Locality, Gurdaspur"
"hungry tummy Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/hungry-tummy-gurdaspur-locality,,"Fast Food, Cafe, Sandwich",3.8,7," Library road, gurdaspur, punjab, Gurdaspur Locality, Gurdaspur"
"chennai xprs Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/chennai-xprs-gurdaspur-locality,400,South Indian,3.5,6," Near Beant college, Bardar, Gurdaspur 1, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"amritsari kulcha king Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/amritsari-kulcha-king-1-gurdaspur-locality,100,North Indian,3.3,9," Hanuman chowk, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"chawlas2 Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/chawlas2-gurdaspur-locality,500,"North Indian, Chinese, Roast Chicken",3.3,7," Shop 25, Kondal Enclave, Near Yash Hospital, Jail Road, Gurdaspur Locality, Gurdaspur"
"tandoori bite Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/tandoori-bite-gurdaspur-locality,200,"North Indian, Fast Food",-,," Hanuman Chowk, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"castle bakers Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/castle-bakers-gurdaspur-locality,200,"Italian, Fast Food, Sandwich, Beverages",4.0,6," Tibri Road, Near Bhai Lalo Chowk, Gurdaspur Locality, Gurdaspur"
"mr sub Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/mr-sub-gurdaspur-locality,250,Fast Food,-,," Jeewanwal Babri, Bye Pass Chowk, Near Dr. Santokh, Gurdaspur"
"desi bite Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/desi-bite-gurdaspur-locality,100,"Italian, Burger, Fast Food, Beverages",3.9,8," Hardochani Road, Gurdaspur Locality, Gurdaspur"
"j f c jalwa chicken dhaba Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/j-f-c-jalwa-chicken-dhaba-gurdaspur-locality,350,"BBQ, North Indian",-,," hardoshania road bye pass, Gurdaspur Locality, Gurdaspur"
"all ok vegetarian restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/all-ok-vegetarian-restaurant-gurdaspur-locality,400,North Indian,-,," Opposite SBI Bank, Tibbri Road, Gurdaspur Locality, Gurdaspur"
"kuku da dhaba Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/kuku-da-dhaba-gurdaspur-locality,300,North Indian,3.7,5," Saini tent house wali gali, Sadar bazar, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"babla fish chicken corner Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/babla-fish-and-chicken-corner-gurdaspur-locality,400,North Indian,3.8,7," Opposite Kala Kendra, Near Nehru Park, Gurdaspur Locality, Gurdaspur"
"himalya fast food Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/himalya-fast-food-gurdaspur-locality,500,"Chinese, South Indian, Italian, Beverages",3.5,6," Shop 7, Near Panj Peer, Railway Road, Gurdaspur Locality, Gurdaspur"
"urban spices golden palm  Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/urban-spices-golden-palm-gurdaspur-locality,400,"North Indian, Fast Food, Sandwich",3.5,4," Near beant college of engineering, Bye pass chowk, Pathankot road, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"under town cafe Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/under-town-cafe-gurdaspur-locality,200,"Italian, Fast Food, Beverages",-,," Unrban estate, Opposite Gurnoor hospital, Kadian road, Batala - Punjab, Gurdaspur Locality, Gurdaspur"
"sub zero restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/sub-zero-restaurant-gurdaspur-locality,,Fast Food,-,," Hanuman Chowk, Sadar Bazar, Gurdaspur Locality, Gurdaspur"
"pehalwan da dhaba Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/pehalwan-da-dhaba-gurdaspur-locality,300,North Indian,3.8,4," Bata Chowk, Sadar Bazar, Gurdaspur Locality, Gurdaspur"
"burger era Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/burger-era-gurdaspur-locality,400,"Fast Food, Burger, Wraps",-,," Near Dala Gas Agency, Ravi Das Chowk, Jail Road, Gurdaspur Locality, Gurdaspur"
"matt wali kulfi Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/matt-wali-kulfi-gurdaspur-locality,100,Ice Cream,3.3,3," Near Punjab National Bank, Gt Road, Mandi, Gurdaspur Locality, Gurdaspur"
"gk s restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/gk-s-restaurant-gurdaspur-locality,300,"North Indian, Fast Food",-,," Civil Line, Gurdaspur Locality, Gurdaspur"
"frozen feast Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/frozen-feast-1-gurdaspur-locality,150,"Fast Food, Desserts",-,," Opposite water tank, police line road, gurdaspur, Gurdaspur Locality, Gurdaspur"
"shake shook cafe Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/shake-shook-cafe-gurdaspur-locality,300,"Italian, Sandwich",3.8,5," Cinema Wali Gali, Hanuman Chowk Gurdaspur Locality, Gurdaspur"
"tasty bites fast food Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/tasty-bites-fast-food-gurdaspur-locality,200,"Chinese, Burger",3.8,5," Govt College road , Gurdaspur Locality, Gurdaspur"
"remember me cafe  Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/remember-me-cafe-1-gurdaspur-locality,200,"Burger, Cafe, Fast Food, Italian",3.5,3," Tibri road, near railway crossing, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"brothers kitchen Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/brothers-kitchen-1-gurdaspur-locality,250,"BBQ, North Indian",3.3,5," Jail road improvment trust market sceam no. 5 opp. Dala farm gurdaspur, Gurdaspur Locality, Gurdaspur"
"giani ice cream golden palm  Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/giani-ice-cream-golden-palm-gurdaspur-locality,300,"Desserts, Beverages",3.2,3," Near beant college of engineering, Bye pass chowk, Pathankot road, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"biryani house Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/biryani-house-gurdaspur-locality,200,"North Indian, Biryani",-,," Hanuman Chowk, Golden School Wali Gali, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"food point Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/food-point-gurdaspur-locality,200,Fast Food,3.4,2," Hardochhani Road, Gurdaspur Locality, Gurdaspur"
"shivam vaishno dhaba Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/shivam-vaishno-dhaba-gurdaspur-locality,400,"Fast Food, Beverages",3.8,3," Near Bcet,gt road,bariar Gurdaspur"
"dogra bakery Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/dogra-bakery-gurdaspur-locality,300,Bakery,3.7,4," GT road, Mandi, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"pirates hub Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/pirates-hub-gurdaspur-locality,,"Italian, Pizza, Burger",3.4,2," Lala Mehar Chand Road, Near Shiva Resorts, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"dominos pizza Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/dominos-pizza-gurdaspur-locality,400,"Pizza, Fast Food",-,," Ground Floor, Plot 1031/08, Mahajan TowersJail Road, Gurdaspur Locality, Gurdaspur"
"dudes cafe Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/the-dudes-cafe-gurdaspur-locality,250,"Burger, Pizza, Fast Food",3.3,3," Rajindra Garden Colony near Delhi Public School , Behrampur Road , Gurdaspur"
"shahi tadka family restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/shahi-tadka-family-restaurant-gurdaspur-locality,400,"Italian, Burger, Fast Food, Sandwich, Chinese, Beverages, Desserts, North Indian",3.6,3," Kalanaur road, Opp. Kalsi palace, Gurdaspur - Punjab"
"down town food Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/down-town-food-gurdaspur-locality,400,"Sandwich, Pizza, North Indian, Desserts, Burger, Biryani, Beverages",NEW,," Near R.S Store, Kanhnuwan Road, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"afc golden palm  Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/afc-golden-palm-gurdaspur-locality,300,"Fast Food, Beverages",3.4,2," Near beant college of engineering, Bye pass chowk, Pathankot road, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"burger hut Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/burger-hut-gurdaspur-locality,300,"Beverages, Fast Food, Italian",-,," Jail road, Opp. Easy day, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"bake studio Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/the-bake-studio-gurdaspur-locality,100,"Fast Food, North Indian",-,," Hanumaan Chowk, Hanuman Chowk, Police Line, Gurdaspur Locality, Gurdaspur"
"fruit juice milk shakes Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/fruit-juice-and-milk-shakes-gurdaspur-locality,200,"Beverages, Juices",-,," Door 28-1-3/1, Near Devi Temple, Devi Chowk, Rajahmundry Locality, Rajahmundry, East Godavari, Gurdaspur Locality, Gurdaspur"
