,lon,lat,size
0,72.5204800442,23.033257763,327
1,72.5577956066,23.0327918559,249
2,72.6147707552,23.1950356475,5
3,72.6045455039,22.997275741,37
4,72.5539915636,23.0601418838,15
5,72.5355295837,23.1080501125,3
6,72.4755061045,23.0172126618,9
7,72.648725,23.1582542,2
8,72.6053598896,23.109558678000003,5
9,72.6673477516,23.2304729892,7
10,72.633551918,23.196177125,14
11,72.5553390384,23.005750133200003,11
12,72.62997619810001,23.184104213,34
13,72.5130707771,22.9895921902,10
14,72.5886282697,23.039302067199998,2
15,72.5816977769,23.1184851408,2
16,72.6511800662,23.184749583800002,1
17,72.5830154121,23.025184692,32
18,72.59575140000001,23.1067016,23
19,72.5459010154,23.1129118759,2
20,72.5831159949,23.0659928034,9
21,72.5467469171,23.0827374835,1
22,72.5596433133,23.0889180465,2
23,72.58768077939999,23.1012551904,3
24,72.4690698087,23.032550879499997,2
25,72.5479592755,23.0097922485,3
26,72.5441183522,23.1419165929,3
27,72.5949941576,23.0279059054,12
28,72.5982862338,23.0108544486,1
29,72.5300602242,23.0641808254,4
30,72.635582,23.165445000000002,2
31,72.6296972483,23.047790786900002,1
32,72.6002693921,22.9829650658,2
33,72.5308739394,23.0978110321,4
34,72.5358232856,22.993483248,3
35,72.52931021149999,23.056939765,5
36,72.649022229,23.230495171999998,13
37,72.6322403178,23.0202577337,2
38,72.6567617431,23.082008035599998,1
39,72.66655859999999,23.0021276,5
40,72.6424632221,23.2176784711,1
41,72.5835645944,23.112926985700003,2
42,72.5141979754,23.0734761311,7
43,72.5885833427,23.0965576919,1
44,72.6336052269,23.135452663899997,1
45,72.5555341691,23.1135397046,1
46,72.54739165310001,23.1223774083,1
47,72.6542314142,23.0776312649,4
48,72.6116496697,23.117564707800003,4
49,72.62118670000001,23.05797235,1
50,72.6183890551,23.0026186297,4
51,72.5471740589,23.0974458869,4
52,72.5425911695,23.137267997,1
53,72.5285816565,23.0864386382,2
54,72.5368797407,23.007097827,6
55,72.6304043457,23.038913623200003,4
56,72.6090439036,23.1220619733,2
57,72.62913834300001,23.111793433000003,1
58,72.5540887937,23.156235647600003,2
59,72.5014437363,23.0500509409,5
60,72.638805221,23.014238102399997,1
61,72.5835880637,23.124986579699996,1
62,72.4709651247,22.9885017356,1
63,72.4614587054,23.017507976300006,1
64,72.6755529642,23.0709322782,1
65,72.6319439337,22.9814251412,5
66,72.62841314079998,23.175394484,2
67,72.6702181071,23.0170663528,2
68,72.595608,23.05392,4
69,72.5846046209,22.972176272600002,1
70,72.5895670429,23.048935060100003,2
71,72.624739,22.984029500000002,1
72,72.567892215,23.0593945372,1
73,72.6871924102,23.0571933459,1
74,72.52526879310001,23.0754428261,3
75,72.6201854646,23.083559148600006,2
76,72.6309310645,23.0857422121,1
77,72.6492622867,23.217507770700003,2
78,72.5220772997,23.064037075399998,5
79,72.63174243270001,23.115769768000003,2
80,72.6086747646,22.978539085500003,3
81,72.5931933895,23.074121109,1
82,72.6695954427,23.0501675571,4
83,72.68093783409999,23.0522185059,1
84,72.49447602779999,22.9874307173,1
85,72.5887838379,23.0014847649,1
86,72.6382162794,23.0201546689,1
87,72.5891003385,22.996931001300002,2
88,72.5302650779,23.0182957871,1
89,72.6148374751,23.0183729324,1
90,72.5404142216,23.0986073165,1
91,72.5915592536,23.0879021084,2
92,72.6037951559,23.0723110913,1
93,72.6744582877,23.0304440916,4
94,72.5986718014,22.975236559699997,1
95,72.52984959999999,22.9948159,2
96,72.6731212065,23.078609342100002,1
97,72.6736314967,23.0244598693,2
98,72.5338837132,23.082723295500003,2
99,72.4790892005,23.0404072292,2
100,72.48340755699999,23.0087164614,3
101,72.638317,23.074225,1
102,72.6248625666,23.1185995393,5
103,72.512733154,23.058606233600006,2
104,72.5397037715,23.1642105322,1
105,72.4717932567,23.022695778200003,1
106,72.5016710535,23.028243777600004,1
107,72.5093190372,22.9998651179,1
108,72.6108057797,23.027864866999998,1
109,72.6680612192,23.056432601599997,1
110,72.477841638,23.032898305,1
111,72.5635435805,23.1647490379,1
112,72.3625827581,22.9230694767,1
113,72.4431513,23.032777300000003,1
114,72.5452371687,23.067376294099997,1
115,72.5484199449,23.052562795700002,1
116,72.48567704109999,23.0451819678,2
117,72.5321600586,23.127584291999998,1
118,72.4931399524,23.0875175056,1
119,72.5380703062,23.016375471,1
120,72.5390882045,23.0707728038,1
121,72.54830796270001,23.127871039400002,1
122,72.48938299999999,22.99138,1
