name,link,cost for 2,cuisines,ratings,reviews,address,lat,lon
"sugaribake Restaurant, Penha de Franca",https://www.zomato.com/goa/sugaribake-penha-de-franca,300,"Bakery, Desserts",-,," Govekar Nagar, Sangolda, Next to Chandrageet Hotel, Porvorim, Goa",15.0042741482,74.0305767953
"sakana Restaurant, Vagator",https://www.zomato.com/goa/sakana-vagator,"1,200",Japanese,4.2,218," Chapora Road, Vagator, Goa",15.2720630765,73.9599166811
"shanbhag Restaurant, Bicholim",https://www.zomato.com/goa/shanbhag-bicholim,350,South Indian,3.0,13," 8, Town Centre, Opposite Petrol Pump, Bicholim, Goa",15.5270091076,73.7665934488
"angels cafe Restaurant, Bambolim",https://www.zomato.com/goa/angels-cafe-bambolim,400,Chinese,-,," House 500/10, Tiswadi, Bambolim, Goa",15.2958730960,73.9177449793
"big chill garden restaurant Restaurant, Palolem",https://www.zomato.com/goa/big-chill-garden-restaurant-palolem,500,Goan,-,," Castle House Steet, Canacona, Palolem, Goa",15.5990428272,73.7470129877
"monkey business bar grill Restaurant, Siolim",https://www.zomato.com/goa/monkey-business-bar-grill-siolim,800,"Italian, Seafood, Finger Food",3.7,57," Near Teso Water Front, Siolim, Goa",15.4002507179,74.0055309981
"panjim inn welcomheritage Restaurant, Panaji",https://www.zomato.com/goa/panjim-inn-welcomheritage-panaji,"1,800","Goan, North Indian, Continental",3.8,22," E-212, 31st January Road, Fontainhas, Panaji, Goa",15.4955616738,73.8315303996
"monte carlo Restaurant, Betalbatim",https://www.zomato.com/goa/monte-carlo-betalbatim,800,"Goan, Chinese",-,," Pocvaddo, Betalbatim, Goa",15.5897416753,73.9463302866
"raviraj cafe Restaurant, Margao",https://www.zomato.com/goa/raviraj-cafe-margao,200,"Goan, South Indian",2.7,20," Hotel Raviraj Classic, Madkaim, Station Road, Near Railway Station, Margao, Goa",15.5830334238,73.7401341274
"casa anjuna Restaurant, Anjuna",https://www.zomato.com/goa/casa-anjuna-anjuna,600,"Goan, Continental, Seafood",-,," Casa Boutique Hotels, 66, D'Mello Vaddo, Anjuna, Goa",15.5162212273,73.8290664554
"dgs cafe  Restaurant, Colva",https://www.zomato.com/goa/dgs-cafe-colva,300,"Momos, Street Food",NEW,," House 62/3(c), Villa Nova Vanelim, Colva, Goa",15.5313833461,73.7643869966
"epitacios Restaurant, Calangute",https://www.zomato.com/goa/epitacios-calangute,"1,400","Seafood, Continental",-,," 1/280, Gauravaddo, Opposite Tarcar Ice Factory, Calangute - Candolim Main Road, Calangute, Goa",15.6149918908,73.7574082240
