name,link,cost for 2,cuisines,ratings,reviews,address
"ice n spices Restaurant, Alwar Locality",https://www.zomato.com/alwar/ice-n-spices-alwar-locality,650,"South Indian, Italian, Indian, Fast Food, Continental, Chinese",4.0,58," Company Bagh Road, Alwar - 301001, Ashok Circle, Nangli Circle, Opposite SBBJ ADB Branch, Alwar Locality, Alwar"
"sai bakers Restaurant, Alwar Locality",https://www.zomato.com/alwar/sai-bakers-alwar-locality,500,"Bakery, Fast Food, Pizza, Desserts, Burger",4.2,63," Opposite Gopal Talkies Alwar, Alwar Locality, Alwar"
"wat cafe Restaurant, Alwar Locality",https://www.zomato.com/alwar/wat-a-cafe-alwar-locality,150,"South Indian, North Indian, Italian, Fast Food, Chinese",3.4,37," 02, Near Manju Hospital, Neb Road, Mungaska, Alwar, Alwar Ward 42, Alwar (Rajasthan), - 301001, Alwar Locality, Alwar"
"dominos pizza Restaurant, Alwar Locality",https://www.zomato.com/alwar/dominos-pizza-alwar-locality,400,"Pizza, Fast Food",3.9,40," Jayanti Mall Nangli Circle Alwar, Alwar Locality, Alwar"
"rj 02 Restaurant, Alwar Locality",https://www.zomato.com/alwar/rj-02-alwar-locality,450,"Italian, Indian, Chinese",3.7,46," RJ02, Near cross point mall, alwar"
"gigil restaurant Restaurant, Alwar Locality",https://www.zomato.com/alwar/gigil-restaurant-alwar-locality,450,"South Indian, North Indian, Chinese, Continental, Indian, Italian",3.6,31," 4, Motidungri, Alwar, Alwar Locality, Alwar"
"prem pavitra bhojnalaya Restaurant, Alwar Locality",https://www.zomato.com/alwar/prem-pavitra-bhojnalaya-1-alwar-locality,600,Indian,-,," 35 B Shri Hans Tower, Motidoongri, Alwar - 301002, Alwar Locality, Alwar"
"bibo Restaurant, Alwar Locality",https://www.zomato.com/alwar/bibo-alwar-locality,650,"North Indian, Pizza, Burger, Sandwich",4.0,40," 60, Pushp Tower, Aerodrum Road, Opposite Daudpur Fatak, Alwar Locality, Alwar"
"hanuman pavitra dhaba Restaurant, Alwar Locality",https://www.zomato.com/alwar/hanuman-pavitra-dhaba-alwar-locality,250,North Indian,4.1,36," Near Agarwal Dharamshala, Bus Stand Rd., Alwar, Alwar Locality, Alwar"
"cool home family restaurant Restaurant, Alwar Locality",https://www.zomato.com/alwar/cool-home-family-restaurant-alwar-locality,500,"North Indian, Chinese, Biryani",4.2,37," 42, Scheme No 3, Alwar - 301001, Opp. Step By Step School, Nr. Ambedkar Circle, Alwar Locality, Alwar"
"prem pavitra bhojnalaya Restaurant, Alwar Locality",https://www.zomato.com/alwar/prem-pavitra-bhojnalaya-alwar-locality,300,North Indian,-,," Alwar Bus Stand, Alwar - 301001, Old Bus Stand, Near Main Market, Alwar Locality, Alwar"
"foji raj dhaba Restaurant, Alwar Locality",https://www.zomato.com/alwar/foji-raj-dhaba-alwar-locality,300,"Rajasthani, North Indian, Chinese",4.1,35," Roopbass, Nr. Over bridge, Alwar, Alwar Locality, Alwar"
"ashi kiran food court Restaurant, Alwar Locality",https://www.zomato.com/alwar/ashi-kiran-food-court-alwar-locality,150,Fast Food,4.2,28," 57, Scheme no. 1, Alwar, Alwar Locality, Alwar"
"chefs choice Restaurant, Alwar Locality",https://www.zomato.com/alwar/chefs-choice-alwar-locality,250,"Indian, Pizza, Chinese",3.7,32," 34, Shiv Complex, behind Cross Point Mall, Alwar, Alwar Locality, Alwar"
"f3 cafe friends food fun Restaurant, Alwar Locality",https://www.zomato.com/alwar/f3-cafe-friends-food-fun-alwar-locality,550,"Chinese, Fast Food, Beverages, Desserts",3.8,30," Plot No.1, Manu Marg, Kabir Colony, Alwar, Rajasthan 301001"
"yumla Restaurant, Alwar Locality",https://www.zomato.com/alwar/yumla-alwar-locality,300,"Burger, Fast Food, Sandwich, Wraps",3.8,25," Shop 21, Near Easyday, Scheme 2, Alwar Locality, Alwar"
"choudhary pavitra bhojanlaya Restaurant, Alwar Locality",https://www.zomato.com/alwar/choudhary-pavitra-bhojanlaya-alwar-locality,200,North Indian,4.0,37," Old Station Road, Opp. Railway Station, Alwar, Alwar Locality, Alwar"
"mj hotel restaurant Restaurant, Alwar Locality",https://www.zomato.com/alwar/mj-hotel-and-restaurant-alwar-locality,300,Indian,-,," Opposite Bus Stand near control room Alwar, Alwar Locality, Alwar"
"laziz pizza Restaurant, Alwar Locality",https://www.zomato.com/alwar/laziz-pizza-alwar-locality,350,Italian,3.9,33," Jangid Bhawan, Opp. Ganpati Towar, Alwar - 301001, Near Nangli Circle, Near Jodhpur Sweet, Alwar Locality, Alwar"
"curry point Restaurant, Alwar Locality",https://www.zomato.com/alwar/the-curry-point-alwar-locality,300,"BBQ, Chinese, Mughlai, North Indian",3.9,17," LGF 14-15, Capital Galleria Manu Marg, alwar, Alwar Locality, Alwar"
"sagar sweets Restaurant, Alwar Locality",https://www.zomato.com/alwar/sagar-sweets-1-alwar-locality,200,"Mithai, Fast Food",4.3,30," Shop No. 3, Wonder Mall, Behind Company Bagh, Alwar, Alwar Locality, Alwar"
"shri shyam fast food Restaurant, Alwar Locality",https://www.zomato.com/alwar/shri-shyam-fast-food-1-alwar-locality,100,Fast Food,3.9,20," 187, Adarsh Colony, Daudpur, Alwar, Alwar (Rajasthan), - 301001, Alwar Locality, Alwar"
"tuk tuk take away Restaurant, Alwar Locality",https://www.zomato.com/alwar/tuk-tuk-take-away-alwar-locality,200,"Beverages, Chinese, Continental, Fast Food, Healthy Food, Italian, Mexican, South Indian",3.9,48," shop no 21, near kawlity bakery, scheme 2 lajpat nagar, alwar, Alwar Locality, Alwar"
"pizza hut Restaurant, Alwar Locality",https://www.zomato.com/alwar/pizza-hut-alwar-locality,600,"Pizza, Desserts",4.0,18," Ground Floor, Cross point Mall, Alwar Locality, Alwar"
"upkar cafe Restaurant, Alwar Locality",https://www.zomato.com/alwar/upkar-cafe-alwar-locality,10,Fast Food,-,," Moti Doongri road Alwar, Alwar Locality, Alwar"
"bheru bux devi sahai dairy Restaurant, Alwar Locality",https://www.zomato.com/alwar/bheru-bux-devi-sahai-dairy-alwar-locality,300,"Mithai, Fast Food",4.2,24," Nr. PNB, Vijay Nagar, Alwar, Alwar Locality, Alwar"
"creative chat bazaar desi rasoi Restaurant, Alwar Locality",https://www.zomato.com/alwar/creative-chat-bazaar-desi-rasoi-alwar-locality,400,"North Indian, Chinese, Fast Food, Desserts",3.8,21," Shop No 5 Manna ka road, purana city hospital ke pass daudpur ,alwar (Rajasthan)"
"gigil cafe Restaurant, Alwar Locality",https://www.zomato.com/alwar/gigil-cafe-alwar-locality,300,"Italian, Chinese, Cafe",3.5,16," 4, Motidungri, Alwar, Alwar Locality, Alwar"
"bakers studio Restaurant, Alwar Locality",https://www.zomato.com/alwar/bakers-studio-alwar-locality,600,Fast Food,-,," 30, Manu Marg alwar, Alwar Locality, Alwar"
"inderlok classic Restaurant, Alwar Locality",https://www.zomato.com/alwar/inderlok-classic-alwar-locality,250,Indian,3.7,22," Ashoka Circle, Company Bagh Road, Alwar - 301001, Alwar Locality, Alwar"
"modern super fast roll burger hub Restaurant, Alwar Locality",https://www.zomato.com/alwar/modern-super-fast-roll-and-burger-hub-alwar-locality,300,"Rolls, Burger, Fast Food",-,," Balaji Bhavan, Shaji Ka Kua, Bus Stand Road, Jyoti Rao Fule Circle, Alwar Locality, Alwar"
"gazal restaurant Restaurant, Alwar Locality",https://www.zomato.com/alwar/gazal-restaurant-1-alwar-locality,700,North Indian,4.0,20," Opp. Easy day, Scheme no. 2, Alwar, Alwar Locality, Alwar"
"pavna o palace restaurant Restaurant, Alwar Locality",https://www.zomato.com/alwar/pavna-o-palace-restaurant-alwar-locality,400,"Chinese, Fast Food, Desserts",3.7,16," Shanti Kunj, Malviya Nagar, Alwar - 301001, Alwar Locality, Alwar"
"golden spoon Restaurant, Alwar Locality",https://www.zomato.com/alwar/golden-spoon-alwar-locality,,"North Indian, Chinese, Fast Food",3.9,14," 464, Scheme No. 2, Alwar - 301001, Scheme No. 2, Behind Easy Day, Alwar Locality, Alwar"
"jitters Restaurant, Alwar Locality",https://www.zomato.com/alwar/jitters-alwar-locality,150,"Desserts, Coffee, Cafe, Beverages",3.6,11," Ajanta Electronics, Nangli Circle, Next to Tija, Alwar Ward 18, Alwar (Rajasthan)., Alwar Locality, Alwar"
"hotel nirwana palace Restaurant, Alwar Locality",https://www.zomato.com/alwar/hotel-nirwana-palace-alwar-locality,"1,000","Italian, Indian, Continental, Chinese",3.9,17," Nr. Over bridge Pratap Bass Barf Khana road, Alwar, Alwar Locality, Alwar"
"hind mishtan bhandar Restaurant, Alwar Locality",https://www.zomato.com/alwar/hind-mishtan-bhandar-alwar-locality,200,Mithai,4.2,9," PNB bank, Vijay nagar, cornar Vijay mandir road, Alwar Locality, Alwar"
"raj tadka Restaurant, Alwar Locality",https://www.zomato.com/alwar/raj-tadka-8-alwar-locality,200,"Cafe, North Indian, Afghan",4.1,17," Opp Hanuman Mandir, Gaytri MandirRoad, Alwar, Alwar Locality, Alwar"
