name,link,cost for 2,cuisines,ratings,reviews,address
"jalsa restaurant Restaurant, Arjun Nagar",https://www.zomato.com/amravati/jalsa-restaurant-arjun-nagar,250,"Maharashtrian, North Indian",3.6,5," Plot No.6, Ashok Colony, Nagpur road, Amravati."
"rasoi restaurant Restaurant, Maltekedi",https://www.zomato.com/amravati/rasoi-restaurant-maltekedi,,"North Indian, Maharashtrian, Indian, Chinese",3.4,5," kavar nagar chowk, Maltekedi, Amravati"
"dhaba cafe Restaurant, Ambapeth",https://www.zomato.com/amravati/dhaba-cafe-ambapeth,,Fast Food,-,," Dhaba Cafe, Walcut compound, Ambapeth, Amravati"
"suryoday bhojnalay Restaurant, Ambapeth",https://www.zomato.com/amravati/suryoday-bhojnalay-ambapeth,200,"Indian, North Indian",3.9,13," near prabhat theatre, prabhat Chowk, Amravati, Ambapeth, Amravati"
"sprus pizza cafe Restaurant, Sai Nagar",https://www.zomato.com/amravati/sprus-pizza-cafe-sai-nagar,200,"Pizza, Sandwich, Burger, Fast Food",3.9,13," Khamang Chaupati, Near D Mart, Sai Nagar, Amravati"
"stuff point Restaurant, Ambapeth",https://www.zomato.com/amravati/stuff-point-ambapeth,100,Fast Food,3.0,13," near Bakhtar hospital, Nanda market road, amravati, Amravati, municipal corp., Zone 04, Ambapeth, Amravati"
"amit chinese center Restaurant, Sai Nagar",https://www.zomato.com/amravati/amit-chinese-center-sai-nagar,150,Chinese,3.7,13," near samarth high school badnera road amravati, Sai Nagar, Amravati"
"apna gharonda Restaurant, Dastur Nagar",https://www.zomato.com/amravati/apna-gharonda-dastur-nagar,400,"North Indian, Maharashtrian, Indian",3.9,12," Sudarshan building jawal, shankar nagar road, Dastur Nagar, Amravati"
"mini punjab Restaurant, Maltekedi",https://www.zomato.com/amravati/the-mini-punjab-maltekedi,500,Maharashtrian,3.5,13," camp road, opp mehfil inn, next level mall, ground floor, Amravati, Maltekedi, Amravati"
"al kareem family restaurants Restaurant, Ambapeth",https://www.zomato.com/amravati/al-kareem-family-restaurants-ambapeth,300,"North Indian, Maharashtrian, Biryani",3.8,11," Usmaniya Masjid Complex, Shop No.1, Bus Stand Road, Amravati - 444601, Near Usmaniya Masjid, Ambapeth, Amravati"
"anil sawaji restaurant Restaurant, Ambapeth",https://www.zomato.com/amravati/anil-sawaji-restaurant-ambapeth,200,North Indian,4.0,12," Juna motor stand, Tahsil Road, Amravati Maharashtra 444601"
"new sanman Restaurant, Ambapeth",https://www.zomato.com/amravati/new-sanman-ambapeth,250,North Indian,4.0,11," Jawahar Road, Amravati - 444601, Above Aradhana Saree Shop, Ambapeth, Amravati"
"tamang momos Restaurant, Maltekedi",https://www.zomato.com/amravati/tamang-momos-maltekedi,100,"Momos, Chinese",3.9,8," dilkusha haritage, near circuit house, Amravati, Maltekedi, Amravati"
"spice kitchen grand mehfil Restaurant, Maltekedi",https://www.zomato.com/amravati/spice-kitchen-grand-mehfil-maltekedi,200,North Indian,3.5,11," At Hotel Mehfil Inn, Camp Road, Maltekedi, Amravati"
"gharounda family garden restaurant Restaurant, Dastur Nagar",https://www.zomato.com/amravati/gharounda-family-garden-restaurant-dastur-nagar,300,"South Indian, North Indian, Maharashtrian, Indian",3.8,10," Gharounda, Farshi stop, near shirbhate petrol pump, Amravati - 444605, Vimal nagar, Dastur Nagar, Amravati"
"uncle pan center Restaurant, Ambapeth",https://www.zomato.com/amravati/uncle-pan-center-ambapeth,150,Indian,3.4,4," near bus stand, railway station road, near hotel ramgiri international, amravati, Ambapeth, Amravati"
"pizza street cafe Restaurant, Maltekedi",https://www.zomato.com/amravati/pizza-street-cafe-maltekedi,200,"North Indian, Indian, Fast Food",3.8,8, camp road khatri complex near barbde hospital maltekedi amravati
"salt n sand Restaurant, Navsaari",https://www.zomato.com/amravati/salt-n-sand-navsaari,250,Fast Food,3.7,10," Kathora Road, Swyamprabha Colony, Vijay Colony, Navsaari, Amravati"
"mathuravasi chat centre Restaurant, Maltekedi",https://www.zomato.com/amravati/mathuravasi-chat-centre-maltekedi,100,Fast Food,3.7,4," old bypass road, Maltekedi, Amravati"
"gurukrupa coffee house Restaurant, Maltekedi",https://www.zomato.com/amravati/gurukrupa-coffee-house-maltekedi,100,"Chinese, Fast Food, South Indian",3.2,3," 11 classic Commercial complex keshav colony camp road, Maltekedi, Amravati"
"cake bake Restaurant, Ambapeth",https://www.zomato.com/amravati/cake-and-bake-ambapeth,300,Bakery,3.8,3," new complex Jaystamdh chowk, Ambapeth, Amravati"
"cafe crazy emotions Restaurant, Navsaari",https://www.zomato.com/amravati/cafe-crazy-emotions-navsaari,150,Cafe,-,," Pinglai Heights Kathora road rohini park 3 Amravati, Navsaari, Amravati"
"hotel ichha non veg Restaurant, Sai Nagar",https://www.zomato.com/amravati/hotel-ichha-non-veg-sai-nagar,300,"Indian, Modern Indian",3.3,3," hotel ichha, sai Nagar road, sai Nagar, ghanashyam Nagar, saturna Amravati, Sai Nagar, Amravati"
