url,fav,lat,lon
https://www.zomato.com/jaipur/apsara-ice-creams-c-scheme,"Paan Ice Cream, Guava Ice Cream, Belgian Chocolate, Waffle Cone, Roasted Almonds, Kulfi",26.9076295945,75.8014161140
https://www.zomato.com/jaipur/surya-mahal-restaurant-mi-road,"Rajasthani Thali, Dal Makhani, Chole Bhature, Pizza, Panneer Butter Masala, Raita, Pav Bhaji",26.9163648021,75.8112987131
https://www.zomato.com/jaipur/handi-fusion-mi-road,"Lal Maans, Junglee Maas, Butter Chicken",26.9169881218,75.8039464429
https://www.zomato.com/jaipur/the-best-food-bakers-c-scheme,₹300 for two people (approx.),26.9034503996,75.7928451151
https://www.zomato.com/jaipur/agarwal-caterers-vaishali-nagar,"Paneer Tikka, Thali, Raj Kachori, Lassi, Pizza, Panipuri, Dhokla",26.9053080047,75.7439484447
https://www.zomato.com/jaipur/myhealthmeal-khatipura-road,₹300 for two people (approx.),26.9342643000,75.7471466000
https://www.zomato.com/jaipur/vintage-rolls-malviya-nagar,"Rolls, Momos, Panneer Butter Masala, Chowmein, Paneer Tikka Roll, Cheese Corn Roll, Sandwich",26.8559824593,75.8062112331
https://www.zomato.com/jaipur/coffee-statue-circle-malviya-nagar,₹300 for two people (approx.),26.8563919469,75.8064516261
https://www.zomato.com/jaipur/ching-chong-mansarovar,₹250 for two people (approx.),26.8620214274,75.7623205706
https://www.zomato.com/jaipur/jay-kalyan-bhojanalya-tonk-road,₹150 for two people (approx.),26.8657729627,75.7800680771
https://www.zomato.com/jaipur/grace-cafe-restro-malviya-nagar,₹400 for two people (approx.),26.8388741477,75.7967831865
https://www.zomato.com/jaipur/do-pal-malviya-nagar,₹400 for two people (approx.),26.8484253689,75.8271036297
https://www.zomato.com/jaipur/hotel-sweet-dream-restaurant-1-mi-road,₹800 for two people (approx.) Without alcohol,26.9171005282,75.8200571314
https://www.zomato.com/jaipur/royal-soya-chaap-corner-tonk-road,₹300 for two people (approx.),26.7998201872,75.8189292625
