url,lat,lon,fav
https://www.zomato.com/vadodara/divyang-dabeli-nasta-house-danteshwar,22.279064,73.20633296,
https://www.zomato.com/vadodara/creative-food-factory-fatehgunj,22.28942246,73.2054894,
https://www.zomato.com/vadodara/tilak-veg-biryani-hub-diwalipura,22.280211,73.153663,
https://www.zomato.com/vadodara/eram-chinese-food-gorwa,22.334986,73.153458,
https://www.zomato.com/vadodara/hindustan-bakerys-cake-shop-more-kendranagar,22.30113604,73.22993975,
https://www.zomato.com/vadodara/the-delhi-kitchen-sama,0,0,
https://www.zomato.com/vadodara/mr-puff-1-makarpura,22.25929024,73.17879975,
https://www.zomato.com/vadodara/mitraam-foods-karelibaug,0,0,
https://www.zomato.com/vadodara/sandwich-sala-manjalpur,22.273464,73.189056,
https://www.zomato.com/vadodara/pearl-restaurant-alkapuri,22.30941809,73.17914408,
https://www.zomato.com/vadodara/bhavnagri-fafda-kendranagar,22.300827,73.232107,
https://www.zomato.com/vadodara/brothers-amritsari-kulcha-gotri,22.32011322,73.14127319,
https://www.zomato.com/vadodara/alpa-restaurant-akota,22.28574533,73.16948343,
https://www.zomato.com/vadodara/andys-cafe-kendranagar,22.318057,73.227923,
https://www.zomato.com/vadodara/purohit-food-palace-manjalpur,22.27262995,73.18821967,
https://www.zomato.com/vadodara/gogi-da-dhaba-makarpura,22.25696056,73.20134673,
https://www.zomato.com/vadodara/delhi-belly-alkapuri,22.31028566,73.17699295,
https://www.zomato.com/vadodara/pcs-kitchen-bhayli,22.28407844,73.13046098,
https://www.zomato.com/vadodara/swagat-khaman-kendranagar,22.30087072,73.22992931,
https://www.zomato.com/vadodara/sarvoday-ice-cream-akota,22.300533,73.169839,
https://www.zomato.com/vadodara/mainland-china-alkapuri,22.308586,73.165496,"fish,noodle,dumplings,mocktails,treasure soup,crackling spinach,clear soup"
https://www.zomato.com/vadodara/shree-mahakali-sevsal-sama,22.342899,73.185709,
https://www.zomato.com/vadodara/a-one-food-corner-akota,22.293693,73.175256,
https://www.zomato.com/vadodara/the-grand-chef-tgc-diwalipura,22.28586136,73.16489283,
https://www.zomato.com/vadodara/sprinkles-by-bosky-makarpura,22.246418,73.204387,
https://www.zomato.com/vadodara/a-to-z-bhel-center-1-karelibaug,22.3233489,73.19748377,
https://www.zomato.com/vadodara/the-delight-karelibaug,0,0,
https://www.zomato.com/vadodara/shree-janta-ice-cream-fatehgunj,22.3234127,73.18819553,
https://www.zomato.com/vadodara/lazzate-nayab-akota,22.29347052,73.17519084,"cheese naan,chicken biryani,roti,fish tikka,mutton biryani"
https://www.zomato.com/vadodara/srishanvi-south-kitchen-sama,22.34669114,73.2121728,
https://www.zomato.com/vadodara/silver-restaurant-manjalpur,22.27022789,73.20300031,"panner tikka,panneer butter masala"
https://www.zomato.com/vadodara/a-one-tava-fry-mandvi,22.304031,73.210579,
https://www.zomato.com/vadodara/jay-ambe-midnight-munchies-akota,22.29336538,73.17509308,
https://www.zomato.com/vadodara/sizzante-sizzlers-more-alkapuri,22.30219784,73.17245532,"mojito,pasta"
https://www.zomato.com/vadodara/food-nation-non-veg-restaurant-tarsali,22.2675304,73.22352894,
https://www.zomato.com/vadodara/sankalp-fatehgunj,22.31885034,73.18786863,"buttermilk,mysore dosa,masala dosa"
https://www.zomato.com/vadodara/gokulesh-ice-cream-parlour-kendranagar,22.28425465,73.23428158,
https://www.zomato.com/vadodara/real-paprika-nizampura,22.33596354,73.17907065,pizza
https://www.zomato.com/vadodara/ye-star-frankie-gorwa,22.333278,73.152417,
https://www.zomato.com/vadodara/surti-egg-tadka-subhanpura,22.318721,73.16033,
https://www.zomato.com/vadodara/bawa-restaurant-2-nizampura,22.34175,73.175087,
https://www.zomato.com/vadodara/joe-jos-n-kitchen-karelibaug,22.35514785,73.19954596,
https://www.zomato.com/vadodara/the-bakers-king-live-cake-shop-karelibaug,22.324337,73.232132,
https://www.zomato.com/vadodara/shreeji-south-corner-akota,22.27679692,73.16040672,
https://www.zomato.com/vadodara/geeta-restaurant-gorwa,0,0,
https://www.zomato.com/vadodara/hotel-durgeshwari-makarpura,22.227564,73.189333,
https://www.zomato.com/vadodara/delightery-bakery-cafe-manjalpur,22.27324923,73.1973261,
https://www.zomato.com/vadodara/havmor-ice-cream-1-diwalipura,22.29571181,73.16428129,
https://www.zomato.com/vadodara/kautilya-the-taste-of-maharashtra-1-karelibaug,22.35591095,73.1980902,
https://www.zomato.com/vadodara/cheesy-fries-1-fatehgunj,22.32456428,73.18914738,
https://www.zomato.com/vadodara/a-one-fry-centre-sayajipura,22.30822141,73.23410925,
https://www.zomato.com/vadodara/the-shake-maker-l-t-knowledge-city,22.3011623,73.25478936,
https://www.zomato.com/vadodara/magic-food-mandvi,22.302767,73.203971,
https://www.zomato.com/vadodara/buddies-club-alkapuri,22.31028969,73.17700267,
https://www.zomato.com/vadodara/the-chocolayer-hub-1-manjalpur,22.2725679,73.18899885,
https://www.zomato.com/vadodara/shuddh-maasahari-sayajigunj,22.308665,73.184095,
https://www.zomato.com/vadodara/khayyam-restaurant-mandvi,22.300858,73.20598,
https://www.zomato.com/vadodara/momoman-fatehgunj,22.3230675,73.18756253,"noodle,veg momos,chilli chicken,chicken momo,fried momo,thukpa,hakka noodles"
https://www.zomato.com/vadodara/allied-confectionery-manjalpur,0,0,chocolate bouquet
https://www.zomato.com/vadodara/moms-tiffin-centre-diwalipura,0,0,
https://www.zomato.com/vadodara/paras-point-diwalipura,22.295068,73.158836,
https://www.zomato.com/vadodara/egg-world-express-nizampura,22.32535236,73.1831456,
