name,link,cost for 2,cuisines,ratings,reviews,address
"chinese capsicum Restaurant, Sri Krishnapuri",https://www.zomato.com/patna/chinese-capsicum-sri-krishnapuri,100,"Chinese, Continental",3.5,14," AMS Park Building, Boring Road Chauraha, Near Heera Panna Jwellers, Sri Krishnapuri, Patna"
"amrapali vatika Restaurant, Sri Krishnapuri",https://www.zomato.com/patna/amrapali-vatika-sri-krishnapuri,300,"South Indian, North Indian, Chinese",3.0,21," NH 30, Veerchand Patel Road Area, Patna, Bihar, Sri Krishnapuri, Patna"
"chinese fast food Restaurant, Golambar",https://www.zomato.com/patna/chinese-fast-food-golambar,200,Fast Food,2.8,8," Maurya Lol Gate 1, Kotwali Chauraha, Golambar, Patna"
"madzzz Restaurant, Fraser Road Area",https://www.zomato.com/patna/madzzz-1-fraser-road-area,300,North Indian,3.1,5," Shop D10 Maurya Lok Complex Fraser Road Area, Patna"
"om santushti sweets chat Restaurant, Kidwaipuri",https://www.zomato.com/patna/om-santushti-sweets-and-chat-1-kidwaipuri,200,"Mithai, Street Food",-,," Shop 2, Malti Kunj, Main Road, Buddha Colony, Kidwaipuri, Patna"
"batido shake paradise grill factory Restaurant, Fraser Road Area",https://www.zomato.com/patna/batido-shake-paradise-and-grill-factory-fraser-road-area,400,"Fast Food, Beverages",3.2,6," Dak Bunglow, Parijat Complex, Behind Grand Apartment, Fraser Road Area, Patna"
"chahat fast food Restaurant, Golambar",https://www.zomato.com/patna/chahat-fast-food-golambar,200,"Chinese, Rolls",-,," Gayghat, Dakshini Gali Sampatchak, Gulzaribagh Golambar, Patna"
"delhi food factory Restaurant, Fraser Road Area",https://www.zomato.com/patna/delhi-food-factory-fraser-road-area,500,"North Indian, Chinese",2.7,6," 1st Floor, Patna Super Market, Fraser Road Area, Patna"
"krishna biryani Restaurant, Kankarbagh",https://www.zomato.com/patna/krishna-biryani-kankarbagh,150,"Biryani, Chinese",-,," A/200, PC Colony, Kankarbagh, Patna"
"innama biryani express Restaurant, Sadikpur",https://www.zomato.com/patna/innama-biryani-express-sadikpur,250,North Indian,3.1,6," Moghalpura, Naudhal, PO - Jhauganj, PS - Khajekalan, Patna City, Patna - 800008, Bihar"
"raw brewhouse kitchen Restaurant, Patliputra Colony",https://www.zomato.com/patna/raw-brewhouse-kitchen-patliputra-colony,900,"Sandwich, Momos, Fast Food, Chinese, North Indian, Biryani, Seafood, Beverages",NEW,," House 45/C, Near Medipark Hospital, Patliputra Colony, Patna"
"dabka cafe Restaurant, Sadikpur",https://www.zomato.com/patna/dabka-cafe-sadikpur,200,"Italian, Beverages, Fast Food, Continental, Momos",-,," Maa Sherawali Market, Sonar Toli, Main Road, Sadikpur, Patna"
"tandoori mahal Restaurant, Kidwaipuri",https://www.zomato.com/patna/tandoori-mahal-kidwaipuri,350,"North Indian, Fast Food",-,," Food Junction 128, North Anandpuri, West Boring Canal Road, Kidwaipuri, Patna"
"student egg shop Restaurant, Rajendra Nagar",https://www.zomato.com/patna/student-egg-shop-rajendra-nagar,150,Rolls,-,," Bazar Samiti, Panchvati Nagar, Rajendra Nagar, Patna"
"sudha exclusive ice cream Restaurant, Kidwaipuri",https://www.zomato.com/patna/sudha-exclusive-ice-cream-kidwaipuri,200,"Ice Cream, Fast Food",3.1,6," West Boring, Canal Road, Beside Medicana, Kidwaipuri, Patna"
"bb tiffin Restaurant, Gardanibagh",https://www.zomato.com/patna/b-b-tiffin-gardanibagh,250,North Indian,2.8,6," Flat 2B, Miteshwari complex, Kanula Road, Gardanibagh, Patna"
"facefood Restaurant, Kankarbagh",https://www.zomato.com/patna/facefood-2-kankarbagh,400,"North Indian, Chinese",-,," Khemnichak Main Road, Opposite Of Harsita Clinic, Kankarbagh, Patna"
"dabs food world Restaurant, Kidwaipuri",https://www.zomato.com/patna/dabs-food-world-kidwaipuri,500,"North Indian, Chinese, Mughlai, Kebab",3.8,167," East Boring Canal Road,Beside Patanjali mega store , Jahaji kothi,Patna."
